"CLAVE SITIO","SITIO","ORGANISMO _DE_CUENCA","ESTADO","MUNICIPIO","ACUIFERO","SUBTIPO","LONGITUD","LATITUD","PERIODO","ALC_mg/L","CALIDAD_ALC","CONDUCT_mS/cm","CALIDAD_CONDUC","SDT_mg/L","CALIDAD_SDT_ra","CALIDAD_SDT_salin","FLUORUROS_mg/L","CALIDAD_FLUO","DUR_mg/L","CALIDAD_DUR","COLI_FEC_NMP/100_mL","CALIDAD_COLI_FEC","N_NO3_mg/L","CALIDAD_N_NO3","AS_TOT_mg/L","CALIDAD_AS","CD_TOT_mg/L","CALIDAD_CD","CR_TOT_mg/L","CALIDAD_CR","HG_TOT_mg/L","CALIDAD_HG","PB_TOT_mg/L","CALIDAD_PB","MN_TOT_mg/L","CALIDAD_MN","FE_TOT_mg/L","CALIDAD_FE","SEMÁFORO","CONTAMINANTES"
"BROTE CARMINA 3","CARMINA 3 BROTE","RÍO BRAVO","COAHUILA DE ZARAGOZA","ACUÑA ","PRESA LA AMISTAD","BROTE","-101.07538","29.44255","2012-2024","139.7","Media","884","Permisible para riego","562.4","Cultivos sensibles","Potable - Dulce","0.82","Potable - Óptima","505.8","Muy dura e indeseable usos industrial y domestico","97","Buena calidad","0.591","Potable - Excelente","<0.0015","Potable - Excelente","<0.00130148","Potable - Excelente","<0.0012","Potable - Excelente","<0.000201289","Potable - Excelente","<0.00154","Potable - Excelente","0.032","Potable - Excelente","0.011","Potable - Excelente","AMARILLO","DT, "
"CAZEPA-1","POZO SAN FERNANDO 1","CUENCAS CENTRALES DEL NORTE","DURANGO","LERDO","VILLA JUAREZ","POZO","-103.53551","25.50971","2012-2024","148.645","Media","329","Buena para riego","184.6","Excelente para riego","Potable - Dulce","0.52","Media","132","Potable - Dura","<10","Buena calidad","0.315762","Potable - Excelente","0.011666667","Apta como FAAP","<0.00130124","Potable - Excelente","<0.0012","Potable - Excelente","0.000115645","Potable - Excelente","<0.00154","Potable - Excelente","<0.00021","Potable - Excelente","0.00425","Potable - Excelente","VERDE",""
"CAZEPA-10","POZO EL HUARACHE","CUENCAS CENTRALES DEL NORTE","DURANGO","LERDO","PRINCIPAL-REGION LAGUNERA","POZO","-103.49819","25.52886","2012-2024","205.02","Alta","615","Buena para riego","378","Excelente para riego","Potable - Dulce","0.43","Media","230","Potable - Dura","10","Buena calidad","3.182","Potable - Excelente","0.012766667","Apta como FAAP","<0.00130124","Potable - Excelente","0.0023","Potable - Excelente","<0.0002012945","Potable - Excelente","0.00827","Potable - Excelente","0.01315","Potable - Excelente","0.19075","Potable - Excelente","VERDE",""
"CAZEPA-11","POZO LAS AURAS","CUENCAS CENTRALES DEL NORTE","DURANGO","LERDO","PRINCIPAL-REGION LAGUNERA","POZO","-103.51438","25.54889","2012-2024","229.14","Alta","602","Buena para riego","322","Excelente para riego","Potable - Dulce","0.5","Media","221.7114","Potable - Dura","<10","Buena calidad","3.843","Potable - Excelente","0.012533333","Apta como FAAP","<0.00130124","Potable - Excelente","0.0021","Potable - Excelente","<0.0002012945","Potable - Excelente","<0.00154","Potable - Excelente","0.001105","Potable - Excelente","0.01655","Potable - Excelente","VERDE",""
"CAZEPA-2","POZO SAN FERNANDO 2","CUENCAS CENTRALES DEL NORTE","DURANGO","LERDO","VILLA JUAREZ","POZO","-103.53953","25.50946","2012-2024","168.4","Alta","379","Buena para riego","239.6","Excelente para riego","Potable - Dulce","0.566","Media","152","Potable - Dura","<10","Buena calidad","0.156885","Potable - Excelente","0.012566667","Apta como FAAP","<0.00130124","Potable - Excelente","0.00175","Potable - Excelente","<0.0002012945","Potable - Excelente","<0.00154","Potable - Excelente","0.1047","Potable - Excelente","0.0045","Potable - Excelente","VERDE",""
"CAZEPA-25","POZO RAYMUNDO","CUENCAS CENTRALES DEL NORTE","DURANGO","LERDO","VILLA JUAREZ","POZO","-103.54054","25.51169","2012-2024","170.2","Alta","354","Buena para riego","233.6","Excelente para riego","Potable - Dulce","0.48","Media","159","Potable - Dura","<10","Buena calidad","0.224651","Potable - Excelente","0.013633333","Apta como FAAP","<0.00130124","Potable - Excelente","0.0013","Potable - Excelente","<0.0002012945","Potable - Excelente","<0.00154","Potable - Excelente","0.02525","Potable - Excelente","0.12755","Potable - Excelente","VERDE",""
"CAZEPA-3","POZO SAN FERNANDO 3","CUENCAS CENTRALES DEL NORTE","DURANGO","LERDO","VILLA JUAREZ","POZO","-103.53687","25.50951","2012-2024","203.4","Alta","637","Buena para riego","384.4","Excelente para riego","Potable - Dulce","0.47","Media","233.6958","Potable - Dura","<10","Buena calidad","1.748","Potable - Excelente","0.023","Apta como FAAP","<0.00130124","Potable - Excelente","<0.0012","Potable - Excelente","0.000120645","Potable - Excelente","<0.00154","Potable - Excelente","0.00235","Potable - Excelente","0.02925","Potable - Excelente","VERDE",""
"CAZEPA-4","POZO SAN FERNANDO 4","CUENCAS CENTRALES DEL NORTE","DURANGO","LERDO","VILLA JUAREZ","POZO","-103.53752","25.50777","2012-2024","210.49","Alta","663","Buena para riego","387.8","Excelente para riego","Potable - Dulce","0.52","Media","252","Potable - Dura","<10","Buena calidad","1.7973885","Potable - Excelente","0.018566667","Apta como FAAP","<0.00130124","Potable - Excelente","0.0021","Potable - Excelente","0.000140645","Potable - Excelente","<0.00154","Potable - Excelente","0.0373","Potable - Excelente","0.00955","Potable - Excelente","VERDE",""
"CAZEPA-5","POZO SAN FERNANDO 5","CUENCAS CENTRALES DEL NORTE","DURANGO","LERDO","VILLA JUAREZ","POZO","-103.5385","25.50933","2012-2024","200.515","Alta","555","Buena para riego","378.7","Excelente para riego","Potable - Dulce","0.4707","Media","217.8635","Potable - Dura","<10","Buena calidad","0.82859","Potable - Excelente","0.01945","Apta como FAAP","<0.00130124","Potable - Excelente","<0.0012","Potable - Excelente","0.000115645","Potable - Excelente","<0.00154","Potable - Excelente","0.00715","Potable - Excelente","0.0214","Potable - Excelente","VERDE",""
"CAZEPA-7","POZO SAN FERNANDO 7","CUENCAS CENTRALES DEL NORTE","DURANGO","LERDO","VILLA JUAREZ","POZO","-103.53713","25.50861","2012-2024","208.035","Alta","560","Buena para riego","377.8","Excelente para riego","Potable - Dulce","0.46","Media","221.7114","Potable - Dura","10","Buena calidad","1.177043","Potable - Excelente","0.020033333","Apta como FAAP","<0.00130124","Potable - Excelente","<0.0012","Potable - Excelente","<0.0002012945","Potable - Excelente","<0.00154","Potable - Excelente","<0.00021","Potable - Excelente","0.00745","Potable - Excelente","VERDE",""
"CAZEPA-8","POZO EL BORDO","CUENCAS CENTRALES DEL NORTE","DURANGO","LERDO","PRINCIPAL-REGION LAGUNERA","POZO","-103.52094","25.52657","2012-2024","225.4","Alta","517","Buena para riego","325.2","Excelente para riego","Potable - Dulce","0.4326","Media","186","Potable - Dura","20.24845673","Buena calidad","4.118","Potable - Excelente","0.018333333","Apta como FAAP","<0.00130124","Potable - Excelente","0.00175","Potable - Excelente","<0.0002012945","Potable - Excelente","<0.00154","Potable - Excelente","0.021105","Potable - Excelente","0.46595","Sin efectos en la salud - Puede dar color al agua","AMARILLO","FE, "
"CAZEPA-9","POZO VILLA JARDIN","CUENCAS CENTRALES DEL NORTE","DURANGO","LERDO","PRINCIPAL-REGION LAGUNERA","POZO","-103.51117","25.54824","2012-2024","203.2025","Alta","602.5","Buena para riego","402.3","Excelente para riego","Potable - Dulce","0.5126","Media","228.857","Potable - Dura","<10","Buena calidad","4.0477805","Potable - Excelente","0.0271","No apta como FAAP","<0.00130124","Potable - Excelente","<0.0012","Potable - Excelente","<0.0002012945","Potable - Excelente","<0.00154","Potable - Excelente","0.001755","Potable - Excelente","0.0065","Potable - Excelente","ROJO","AS, "
"DLAGU0001RNL","POZO PALO ALTO","LERMA SANTIAGO PACÍFICO","AGUASCALIENTES","CALVILLO","VALLE DE CALVILLO","POZO","-102.68233","22.041","2012-2024","28","Baja","373","Buena para riego","249","Excelente para riego","Potable - Dulce","<2","Alta","43.4","Potable - Suave","","","<0.052","Potable - Excelente","","","","","","","","","","","","","","","ROJO","FLUO, "
"DLAGU0007RNL","POZO JALTICHE DE ARRIBA","LERMA SANTIAGO PACÍFICO","AGUASCALIENTES","CALVILLO","VALLE DE CALVILLO","POZO","-102.7875","21.7728","2012-2024","","","","","315","Excelente para riego","Potable - Dulce","1.84","Alta","88.8","Potable - Moderadamente suave","","","<0.052","Potable - Excelente","","","","","","","","","","","","","","","ROJO","FLUO, "
"DLAGU0037RNL","POZO MESILLAS","LERMA SANTIAGO PACÍFICO","AGUASCALIENTES","TEPEZALA","VALLE DE AGUASCALIENTES","POZO","-102.1744912","22.314556","2012-2024","","","","","353","Excelente para riego","Potable - Dulce","1.05","Potable - Óptima","161.8","Potable - Dura","","","0.41","Potable - Excelente","","","","","","","","","","","","","","","VERDE",""
"DLAGU0038RNL","POTABILIZADORA TEPEZALA","LERMA SANTIAGO PACÍFICO","AGUASCALIENTES","TEPEZALA","VALLE DE AGUASCALIENTES","POZO","-102.164894","22.217471","2012-2024","","","","","539","Cultivos sensibles","Potable - Dulce","1.69","Alta","201.8","Potable - Dura","","","<0.052","Potable - Excelente","","","","","","","","","","","","","","","ROJO","FLUO, "
"DLAGU0042RNL","POZO PABELLÓN DE ARTEAGA","LERMA SANTIAGO PACÍFICO","AGUASCALIENTES","PABELLÓN DE ARTEAGA","VALLE DE AGUASCALIENTES","POZO","-102.2877","22.15007","2012-2024","249","Alta","428","Buena para riego","422","Excelente para riego","Potable - Dulce","1.87","Alta","184","Potable - Dura","","","","","","","","","","","","","","","","","","","ROJO","FLUO, "
"DLAGU19","POZO PASO BLANCO","LERMA SANTIAGO PACÍFICO","AGUASCALIENTES","JESÚS MARÍA","VALLE DE AGUASCALIENTES","POZO","-102.31557","21.97497","2012-2024","401.12","Indeseable como FAAP","876","Permisible para riego","593","Cultivos sensibles","Potable - Dulce","0.8363","Potable - Óptima","262.7897","Potable - Dura","6.26121887","Buena calidad","1.671","Potable - Excelente","0.004418333","Potable - Excelente","<0.00130104363636364","Potable - Excelente","0.003626364","Potable - Excelente","0.000201854","Potable - Excelente","<0.00154","Potable - Excelente","0.0479325","Potable - Excelente","0.087087273","Potable - Excelente","AMARILLO","ALC, "
"DLAGU1M1","POZO DE LA COMUNIDAD DE LOS DURON","LERMA SANTIAGO PACÍFICO","AGUASCALIENTES","AGUASCALIENTES","EL LLANO","POZO","-102.12402","21.75181","2012-2024","347","Alta","865","Permisible para riego","496","Excelente para riego","Potable - Dulce","4.7648355","Alta","87","Potable - Moderadamente suave","9.684706931","Buena calidad","1.6011005","Potable - Excelente","<0.0015","Potable - Excelente","<0.001301","Potable - Excelente","<0.0012","Potable - Excelente","0.0002845","Potable - Excelente","<0.00154","Potable - Excelente","0.013804","Potable - Excelente","1.037595","Sin efectos en la salud - Puede dar color al agua","ROJO","FLUO, FE, "
"DLAGU2","POZO COMUNIDAD SANDOVALES","LERMA SANTIAGO PACÍFICO","AGUASCALIENTES","EL LLANO","EL LLANO","NORIA","-102.1124","21.8829","2012-2024","239.085","Alta","589.5","Buena para riego","372","Excelente para riego","Potable - Dulce","3.9449","Alta","131.3011","Potable - Dura","<23,5598741426563","Buena calidad","1.484678","Potable - Excelente","<0.0015","Potable - Excelente","<0.001301","Potable - Excelente","<0.0012","Potable - Excelente","0.000200975","Potable - Excelente","<0.00154","Potable - Excelente","0.000468","Potable - Excelente","0.009892","Potable - Excelente","ROJO","FLUO, "
"DLAGU3","PALO ALTO POZO Nº 2","LERMA SANTIAGO PACÍFICO","AGUASCALIENTES","EL LLANO","EL LLANO","POZO","-101.96439","21.9055","2012-2024","202.95","Alta","559.5","Buena para riego","405.6","Excelente para riego","Potable - Dulce","3.0675","Alta","121.9","Potable - Dura","5.897220775","Buena calidad","1.9255795","Potable - Excelente","0.004236364","Potable - Excelente","<0.001301048","Potable - Excelente","0.00131","Potable - Excelente","0.000246281","Potable - Excelente","<0.00154","Potable - Excelente","0.006636364","Potable - Excelente","0.018973636","Potable - Excelente","ROJO","FLUO, "
"DLAGU34","POZO TANQUE DE LOS JIMENEZ","LERMA SANTIAGO PACÍFICO","AGUASCALIENTES","AGUASCALIENTES","VALLE DE AGUASCALIENTES","POZO","-102.36716","21.7079","2012-2024","241.785","Alta","545.5","Buena para riego","404","Excelente para riego","Potable - Dulce","1.2368","Potable - Óptima","169.417","Potable - Dura","<23,5598741426563","Buena calidad","0.817284","Potable - Excelente","0.006216","Potable - Excelente","<0.001301","Potable - Excelente","0.002273333","Potable - Excelente","0.000200975","Potable - Excelente","<0.00154","Potable - Excelente","<0.00021","Potable - Excelente","0.021112","Potable - Excelente","VERDE",""
"DLAGU39","POZO JALTICHE DE ABAJO","LERMA SANTIAGO PACÍFICO","AGUASCALIENTES","CALVILLO","VALLE DE CALVILLO","POZO","-102.79253","21.7742","2012-2024","168.075","Alta","371.5","Buena para riego","311.6","Excelente para riego","Potable - Dulce","1.501089","Alta","81.8988","Potable - Moderadamente suave","<3,52949137924364","Buena calidad","1.221837","Potable - Excelente","0.00464","Potable - Excelente","<0.001301","Potable - Excelente","0.0021375","Potable - Excelente","0.000207533","Potable - Excelente","<0.00154","Potable - Excelente","<0.00021","Potable - Excelente","0.158209","Potable - Excelente","ROJO","FLUO, "
"DLAGU4","POZO SANTA MARIA DE GALLARDO","LERMA SANTIAGO PACÍFICO","AGUASCALIENTES","AGUASCALIENTES","VALLE DE CHICALOTE","POZO","-102.11368","22.04557","2012-2024","256.525","Alta","720.5","Buena para riego","460.4","Excelente para riego","Potable - Dulce","1.2460845","Potable - Óptima","189.7786","Potable - Dura","<3,52949137924364","Buena calidad","2.408599","Potable - Excelente","0.00235","Potable - Excelente","<0.001301","Potable - Excelente","0.0013625","Potable - Excelente","0.000193089","Potable - Excelente","<0.00154","Potable - Excelente","0.000299","Potable - Excelente","0.052559","Potable - Excelente","VERDE",""
"DLAGU42","CALVILLO POZO NO. 1 INDEPENDENCIA","LERMA SANTIAGO PACÍFICO","AGUASCALIENTES","CALVILLO","VALLE DE CALVILLO","POZO","-102.728","21.84439","2012-2024","117.2","Media","360","Buena para riego","274","Excelente para riego","Potable - Dulce","0.9671","Potable - Óptima","89.515","Potable - Moderadamente suave","8.200006978","Buena calidad","2.735003","Potable - Excelente","<0.0015","Potable - Excelente","<0.001301048","Potable - Excelente","0.00141","Potable - Excelente","0.000188454","Potable - Excelente","<0.00154","Potable - Excelente","0.002284167","Potable - Excelente","0.010658","Potable - Excelente","VERDE",""
"DLAGU44","POZO SAN TADEO","LERMA SANTIAGO PACÍFICO","AGUASCALIENTES","CALVILLO","VALLE DE CALVILLO","POZO","-102.6984","21.92306","2012-2024","159.9","Alta","436","Buena para riego","234","Excelente para riego","Potable - Dulce","1.5839735","Alta","33.2065","Potable - Suave","4.614741845","Buena calidad","0.6904","Potable - Excelente","0.00413","Potable - Excelente","<0.001301","Potable - Excelente","0.001544444","Potable - Excelente","0.000204489","Potable - Excelente","<0.00154","Potable - Excelente","<0.00021","Potable - Excelente","0.066899","Potable - Excelente","ROJO","FLUO, "
"DLAGU49","POZO TAPIAS VIEJAS","LERMA SANTIAGO PACÍFICO","AGUASCALIENTES","JESÚS MARÍA","VENADERO","POZO","-102.53558","21.85116","2012-2024","175.68","Alta","369","Buena para riego","254.7","Excelente para riego","Potable - Dulce","1.67697","Alta","93.8892","Potable - Moderadamente suave","7.645314492","Buena calidad","1.402067","Potable - Excelente","0.002991667","Potable - Excelente","<0.00130104363636364","Potable - Excelente","0.001409091","Potable - Excelente","0.000187426","Potable - Excelente","<0.00154","Potable - Excelente","0.002781667","Potable - Excelente","0.101011818","Potable - Excelente","ROJO","FLUO, "
"DLAGU5","POZO 1 VILLA JUAREZ, ASIENTOS","LERMA SANTIAGO PACÍFICO","AGUASCALIENTES","ASIENTOS","VALLE DE CHICALOTE","POZO","-102.06644","22.09141","2012-2024","198.59","Alta","538","Buena para riego","358","Excelente para riego","Potable - Dulce","1.070515","Potable - Óptima","122.64115","Potable - Dura","5.59386686","Buena calidad","1.69695","Potable - Excelente","<0.0015","Potable - Excelente","<0.001301","Potable - Excelente","0.00295","Potable - Excelente","0.000187678","Potable - Excelente","<0.00154","Potable - Excelente","0.00046","Potable - Excelente","0.03626","Potable - Excelente","VERDE",""
"DLAGU50M1","POZO GRACIAS A DIOS","LERMA SANTIAGO PACÍFICO","AGUASCALIENTES","JESÚS MARÍA","VALLE DE AGUASCALIENTES","POZO","-102.48305","21.92859","2012-2024","151.7","Alta","356","Buena para riego","257","Excelente para riego","Potable - Dulce","3.404413","Alta","67.6689","Potable - Moderadamente suave","5.51013159","Buena calidad","1.0351045","Potable - Excelente","0.002006","Potable - Excelente","<0.001301","Potable - Excelente","<0.0012","Potable - Excelente","0.000190267","Potable - Excelente","<0.00154","Potable - Excelente","0.014654","Potable - Excelente","0.091784444","Potable - Excelente","ROJO","FLUO, "
"DLAGU5566","POZO ASIENTOS 1","CUENCAS CENTRALES DEL NORTE","AGUASCALIENTES","ASIENTOS","VALLE DE CHICALOTE","POZO","-102.0881389","22.24772222","2012-2024","118.25","Media","329","Buena para riego","228.4","Excelente para riego","Potable - Dulce","1.02905","Potable - Óptima","93.8619","Potable - Moderadamente suave","<10","Buena calidad","1.0982825","Potable - Excelente","0.039233333","No apta como FAAP","<0.001301","Potable - Excelente","<0.0012","Potable - Excelente","0.0001442","Potable - Excelente","0.014693333","No apta como FAAP","<0.00021","Potable - Excelente","0.0077","Potable - Excelente","ROJO","AS, PB, "
"DLAGU5567","POZO PLUTARCO ELIAS CALLES","LERMA SANTIAGO PACÍFICO","AGUASCALIENTES","ASIENTOS","VALLE DE CHICALOTE","POZO","-102.052","22.21366667","2012-2024","122.55","Media","421","Buena para riego","224","Excelente para riego","Potable - Dulce","1.425","Potable - Óptima","55.9104","Potable - Suave","<10","Buena calidad","1.385161","Potable - Excelente","0.0179","Apta como FAAP","<0.001301","Potable - Excelente","<0.0012","Potable - Excelente","<0.0002013","Potable - Excelente","0.0435","No apta como FAAP","<0.00021","Potable - Excelente","0.0053","Potable - Excelente","ROJO","PB, "
"DLAGU5568","POZO TEPEZALA","LERMA SANTIAGO PACÍFICO","AGUASCALIENTES","TEPEZALÁ","VALLE DE AGUASCALIENTES","POZO","-102.1687778","22.21575","2012-2024","244.1625","Alta","880.33","Permisible para riego","543","Cultivos sensibles","Potable - Dulce","1.868","Alta","229","Potable - Dura","<10","Buena calidad","0.032305","Potable - Excelente","0.0707","No apta como FAAP","<0.001301","Potable - Excelente","<0.0012","Potable - Excelente","0.00019065","Potable - Excelente","<0.00154","Potable - Excelente","0.1363","Potable - Excelente","0.53165","Sin efectos en la salud - Puede dar color al agua","ROJO","FLUO, AS, FE, "
"DLAGU5569","POZO PUERTO DE LA CONCEPCION","LERMA SANTIAGO PACÍFICO","AGUASCALIENTES","ASIENTOS","VALLE DE CHICALOTE","POZO","-102.1249444","22.19397222","2012-2024","212.85","Alta","630.5","Buena para riego","386.4","Excelente para riego","Potable - Dulce","2.2963","Alta","257.7869","Potable - Dura","<10","Buena calidad","0.6442995","Potable - Excelente","0.03955","No apta como FAAP","<0.001301","Potable - Excelente","<0.0012","Potable - Excelente","<0.0002013","Potable - Excelente","0.01332","No apta como FAAP","0.0025","Potable - Excelente","0.03655","Potable - Excelente","ROJO","FLUO, AS, PB, "
"DLAGU5570","POZO ARROYO HONDO","LERMA SANTIAGO PACÍFICO","AGUASCALIENTES","TEPEZALÁ","VALLE DE AGUASCALIENTES","POZO","-102.2126667","22.18761111","2012-2024","284.875","Alta","758","Permisible para riego","498","Excelente para riego","Potable - Dulce","1.5404","Alta","203.6736","Potable - Dura","<10","Buena calidad","0.91941","Potable - Excelente","0.0287","No apta como FAAP","<0.001301","Potable - Excelente","<0.0012","Potable - Excelente","<0.0002013","Potable - Excelente","0.0433","No apta como FAAP","<0.00021","Potable - Excelente","0.5004","Sin efectos en la salud - Puede dar color al agua","ROJO","FLUO, AS, PB, FE, "
"DLAGU5571","POZO CALDERA","LERMA SANTIAGO PACÍFICO","AGUASCALIENTES","PABELLÓN DE ARTEAGA","VALLE DE AGUASCALIENTES","POZO","-102.22225","22.16163889","2012-2024","297.775","Alta","770","Permisible para riego","470","Excelente para riego","Potable - Dulce","1.397","Potable - Óptima","205.6704","Potable - Dura","<10","Buena calidad","1.13103","Potable - Excelente","0.0308","No apta como FAAP","<0.001301","Potable - Excelente","<0.0012","Potable - Excelente","<0.0002013","Potable - Excelente","0.0406","No apta como FAAP","<0.00021","Potable - Excelente","<0.0041","Potable - Excelente","ROJO","AS, PB, "
"DLAGU5572","POZO SAN JUAN DE LA NATURA","LERMA SANTIAGO PACÍFICO","AGUASCALIENTES","RINCÓN DE ROMOS","VALLE DE AGUASCALIENTES","POZO","-102.2268333","22.35511111","2012-2024","235.825","Alta","581","Buena para riego","399","Excelente para riego","Potable - Dulce","1.1773","Potable - Óptima","116.9088","Potable - Moderadamente suave","<10","Buena calidad","0.071829","Potable - Excelente","0.1646","No apta como FAAP","<0.001301","Potable - Excelente","<0.0012","Potable - Excelente","0.00011","Potable - Excelente","<0.00154","Potable - Excelente","0.7379","Puede afectar la salud","0.8707","Sin efectos en la salud - Puede dar color al agua","ROJO","AS, MN, FE, "
"DLAGU5573","POZO 16 DE SEPTIEMBRE","LERMA SANTIAGO PACÍFICO","AGUASCALIENTES","RINCÓN DE ROMOS","VALLE DE AGUASCALIENTES","POZO","-102.2069444","22.34277778","2012-2024","369.8","Alta","992","Permisible para riego","548.5","Cultivos sensibles","Potable - Dulce","1.13835","Potable - Óptima","173.7416","Potable - Dura","<10","Buena calidad","<0.0415","Potable - Excelente","0.0348","No apta como FAAP","<0.001301","Potable - Excelente","<0.0012","Potable - Excelente","<0.0002013","Potable - Excelente","<0.00154","Potable - Excelente","0.0021","Potable - Excelente","0.088","Potable - Excelente","ROJO","AS, "
"DLAGU5574","POZO NUM. 5 RINCON DE ROMOS","LERMA SANTIAGO PACÍFICO","AGUASCALIENTES","RINCÓN DE ROMOS","VALLE DE AGUASCALIENTES","POZO","-102.3246667","22.22219444","2012-2024","261.225","Alta","711","Buena para riego","324","Excelente para riego","Potable - Dulce","1.5075","Alta","122.366","Potable - Dura","<10","Buena calidad","0.361201","Potable - Excelente","0.0204","Apta como FAAP","<0.001301","Potable - Excelente","<0.0012","Potable - Excelente","<0.0002013","Potable - Excelente","<0.00154","Potable - Excelente","<0.00021","Potable - Excelente","0.0063","Potable - Excelente","ROJO","FLUO, "
"DLAGU5575","POZO CAÑADA HONDA","LERMA SANTIAGO PACÍFICO","AGUASCALIENTES","AGUASCALIENTES","VALLE DE CHICALOTE","POZO","-102.2008333","21.99963889","2012-2024","241.875","Alta","604","Buena para riego","432","Excelente para riego","Potable - Dulce","0.968","Potable - Óptima","188.564","Potable - Dura","63","Buena calidad","5.977318","Potable - Buena calidad","0.0141","Apta como FAAP","<0.001301","Potable - Excelente","<0.0012","Potable - Excelente","<0.0002013","Potable - Excelente","<0.00154","Potable - Excelente","0.0046","Potable - Excelente","0.2665","Potable - Excelente","VERDE",""
"DLAGU5576","POZO NUM 6 PARRAS","LERMA SANTIAGO PACÍFICO","AGUASCALIENTES","AGUASCALIENTES","VALLE DE AGUASCALIENTES","POZO","-102.2816667","21.91502778","2012-2024","221.925","Alta","539.5","Buena para riego","394.6","Excelente para riego","Potable - Dulce","1.3357","Potable - Óptima","140.6","Potable - Dura","<10","Buena calidad","1.2660435","Potable - Excelente","0.0181","Apta como FAAP","<0.00130116","Potable - Excelente","0.003033333","Potable - Excelente","0.000324196","Potable - Excelente","<0.00154","Potable - Excelente","<0.00021","Potable - Excelente","0.009533333","Potable - Excelente","VERDE",""
"DLAGU5577","POZO JESUS GOMEZ PORTUGAL","LERMA SANTIAGO PACÍFICO","AGUASCALIENTES","JESÚS MARÍA","VALLE DE AGUASCALIENTES","POZO","-102.2908333","21.99889167","2012-2024","234.9875","Alta","508.5","Buena para riego","411","Excelente para riego","Potable - Dulce","1.17385","Potable - Óptima","142.149","Potable - Dura","<10","Buena calidad","0.735673","Potable - Excelente","0.0248","Apta como FAAP","<0.001301","Potable - Excelente","0.0036","Potable - Excelente","<0.0002013","Potable - Excelente","<0.00154","Potable - Excelente","<0.00021","Potable - Excelente","0.0316","Potable - Excelente","VERDE",""
"DLAGU5578","POZO SAN FRANCISCO DE LOS ROMO","LERMA SANTIAGO PACÍFICO","AGUASCALIENTES","SAN FRANCISCO DE LOS ROMO","VALLE DE AGUASCALIENTES","POZO","-102.27547","22.07944","2012-2024","255.85","Alta","689","Buena para riego","432","Excelente para riego","Potable - Dulce","1.3381","Potable - Óptima","155.7504","Potable - Dura","<10","Buena calidad","1.105006","Potable - Excelente","0.0292","No apta como FAAP","<0.001301","Potable - Excelente","0.0023","Potable - Excelente","<0.0002013","Potable - Excelente","<0.00154","Potable - Excelente","<0.00021","Potable - Excelente","<0.0041","Potable - Excelente","ROJO","AS, "
"DLAGU5579","POZO PABELLON DE ARTEGA","LERMA SANTIAGO PACÍFICO","JALISCO","SAN JUAN DE LOS LAGOS","LAGOS DE MORENO","POZO","-102.2768472","21.14919444","2012-2024","267.675","Alta","653","Buena para riego","410","Excelente para riego","Potable - Dulce","1.334","Potable - Óptima","145.7664","Potable - Dura","<10","Buena calidad","2.011732","Potable - Excelente","0.037","No apta como FAAP","<0.001301","Potable - Excelente","0.003","Potable - Excelente","<0.0002013","Potable - Excelente","<0.00154","Potable - Excelente","<0.00021","Potable - Excelente","<0.0041","Potable - Excelente","ROJO","AS, "
"DLAGU5580","POZO SAN JOSE DE GRACIA","LERMA SANTIAGO PACÍFICO","AGUASCALIENTES","SAN JOSÉ DE GRACIA","VALLE DE AGUASCALIENTES","POZO","-102.41801","22.14971","2012-2024","110.625","Media","322","Buena para riego","194","Excelente para riego","Potable - Dulce","2","Alta","20","Potable - Suave","10","Buena calidad","0.5457585","Potable - Excelente","0.0498","No apta como FAAP","<0.001301","Potable - Excelente","0.0194","Potable - Excelente","<0.0002013","Potable - Excelente","<0.00154","Potable - Excelente","0.0013","Potable - Excelente","0.0134","Potable - Excelente","ROJO","FLUO, AS, "
"DLAGU6","POZO SAN GIL","LERMA SANTIAGO PACÍFICO","AGUASCALIENTES","ASIENTOS","VALLE DE CHICALOTE","POZO","-102.0221","22.20887","2012-2024","239.74","Alta","850","Permisible para riego","638","Cultivos sensibles","Potable - Dulce","0.895392","Potable - Óptima","248.2372","Potable - Dura","6.672733881","Buena calidad","5.0481635","Potable - Buena calidad","0.01374","Apta como FAAP","<0.001301","Potable - Excelente","0.001422222","Potable - Excelente","0.000197011","Potable - Excelente","<0.00154","Potable - Excelente","0.000714","Potable - Excelente","0.033231","Potable - Excelente","VERDE",""
"DLAGU6516","POZO R013 CAÑADA HONDA","LERMA SANTIAGO PACÍFICO","AGUASCALIENTES","AGUASCALIENTES","VALLE DE CHICALOTE","POZO","-102.20075","21.99958","2012-2024","227.995","Alta","524","Buena para riego","385","Excelente para riego","Potable - Dulce","0.9298","Potable - Óptima","185.0514","Potable - Dura","<10","Buena calidad","3.035055","Potable - Excelente","0.0134","Apta como FAAP","<0.001301","Potable - Excelente","<0.0012","Potable - Excelente","<0.0002013","Potable - Excelente","<0.00154","Potable - Excelente","<0.00021","Potable - Excelente","<0.0041","Potable - Excelente","VERDE",""
